db_name,full_path,age,gender,ageGrp
AFAD,29/111/7259-0.jpg,29,1,2
AFAD,30/111/445991-0.jpg,30,1,2
AFAD,39/112/471015-0.jpg,39,0,3
AFAD,23/112/185162-0.jpg,23,0,1
AFAD,24/112/158743-0.jpg,24,0,1
AFAD,22/112/241577-0.jpg,22,0,1
AFAD,37/112/419543-0.jpg,37,0,3
AFAD,18/111/274738-0.jpg,18,1,0
AFAD,31/111/5706-0.jpg,31,1,2
AFAD,18/111/59915-0.jpg,18,1,0
AFAD,19/111/288773-1.jpg,19,1,0
AFAD,25/112/29424-0.jpg,25,0,1
AFAD,19/111/269377-0.jpg,19,1,0
AFAD,34/112/121819-0.jpg,34,0,3
AFAD,39/111/483630-0.jpg,39,1,3
AFAD,20/111/247064-0.jpg,20,1,0
AFAD,24/111/211118-1.jpg,24,1,1
AFAD,21/112/81885-0.jpg,21,0,0
AFAD,33/112/426831-1.jpg,33,0,3
AFAD,22/111/79287-0.jpg,22,1,1
AFAD,21/111/250796-0.jpg,21,1,0
AFAD,37/111/433142-0.jpg,37,1,3
AFAD,37/112/487432-0.jpg,37,0,3
AFAD,22/111/224638-0.jpg,22,1,1
AFAD,21/112/234709-0.jpg,21,0,0
AFAD,36/112/583670-0.jpg,36,0,3
AFAD,25/111/154041-0.jpg,25,1,1
AFAD,23/112/101957-0.jpg,23,0,1
AFAD,30/112/443510-0.jpg,30,0,2
AFAD,35/111/479787-0.jpg,35,1,3
AFAD,34/112/446320-0.jpg,34,0,3
AFAD,26/111/141198-0.jpg,26,1,2
AFAD,22/111/220247-0.jpg,22,1,1
AFAD,20/111/240953-0.jpg,20,1,0
AFAD,22/112/102028-0.jpg,22,0,1
AFAD,38/111/627460-0.jpg,38,1,3
AFAD,22/112/167925-2.jpg,22,0,1
AFAD,20/112/91297-0.jpg,20,0,0
AFAD,19/111/249967-0.jpg,19,1,0
AFAD,29/111/129267-0.jpg,29,1,2
AFAD,20/111/264719-0.jpg,20,1,0
AFAD,21/112/20896-0.jpg,21,0,0
AFAD,18/111/264999-1.jpg,18,1,0
AFAD,21/112/185135-0.jpg,21,0,0
AFAD,21/112/250291-0.jpg,21,0,0
AFAD,25/112/161190-0.jpg,25,0,1
AFAD,33/111/309078-0.jpg,33,1,3
AFAD,25/111/150996-0.jpg,25,1,1
AFAD,23/112/99600-0.jpg,23,0,1
AFAD,22/111/209352-0.jpg,22,1,1
AFAD,22/111/212649-0.jpg,22,1,1
AFAD,25/111/144215-0.jpg,25,1,1
AFAD,24/112/170173-0.jpg,24,0,1
AFAD,32/112/124304-0.jpg,32,0,3
AFAD,19/111/275962-0.jpg,19,1,0
AFAD,31/112/445052-0.jpg,31,0,2
AFAD,29/111/311605-0.jpg,29,1,2
AFAD,23/112/42952-0.jpg,23,0,1
AFAD,34/112/423532-0.jpg,34,0,3
AFAD,27/111/139262-1.jpg,27,1,2
AFAD,39/112/412713-0.jpg,39,0,3
AFAD,25/112/89457-0.jpg,25,0,1
AFAD,22/111/230624-0.jpg,22,1,1
AFAD,32/111/5659-1.jpg,32,1,3
AFAD,23/112/206078-0.jpg,23,0,1
AFAD,19/112/280636-2.jpg,19,0,0
AFAD,33/112/433574-0.jpg,33,0,3
AFAD,27/111/6887-0.jpg,27,1,2
AFAD,22/112/224519-0.jpg,22,0,1
AFAD,20/112/113623-0.jpg,20,0,0
AFAD,27/111/155447-0.jpg,27,1,2
AFAD,21/111/282539-0.jpg,21,1,0
