db_name,full_path,age,std
chalearn_15/Train,image_4797.jpg,21,4.026539
chalearn_15/Train,image_3532.jpg,21,5.267450
chalearn_15/Train,image_3720.jpg,28,3.569742
chalearn_15/Train,image_985.jpg,48,4.406435
chalearn_15/Train,image_963.jpg,17,3.427827
chalearn_15/Train,image_61.jpg,23,2.150779
chalearn_15/Train,image_1805.jpg,16,3.025098
chalearn_15/Train,image_1904.jpg,15,4.513245
chalearn_15/Train,image_2175.jpg,44,4.941895
chalearn_15/Train,image_1058.jpg,24,2.973254
chalearn_15/Train,image_2170.jpg,28,3.797042
chalearn_15/Train,image_3748.jpg,30,3.593358
chalearn_15/Train,image_4700.jpg,24,3.655133
chalearn_15/Train,image_2783.jpg,24,4.964765
chalearn_15/Train,image_4550.jpg,40,4.356183
chalearn_15/Train,image_3428.jpg,18,2.818616
chalearn_15/Train,image_4684.jpg,28,5.030573
chalearn_15/Train,image_2051.jpg,26,4.118484
chalearn_15/Train,image_129.jpg,24,4.380435
chalearn_15/Train,image_66.jpg,23,2.682774
chalearn_15/Train,image_3418.jpg,43,4.651869
chalearn_15/Train,image_4628.jpg,18,3.401960
chalearn_15/Train,image_252.jpg,29,3.426339
chalearn_15/Train,image_4386.jpg,14,1.090050
chalearn_15/Train,image_574.jpg,53,4.990964
chalearn_15/Train,image_1131.jpg,49,5.383516
chalearn_15/Train,image_2463.jpg,57,4.582143
chalearn_15/Train,image_2218.jpg,26,3.597860
chalearn_15/Train,image_4754.jpg,18,2.092534
chalearn_15/Train,image_530.jpg,54,3.645443
chalearn_15/Train,image_1656.jpg,24,3.395575
chalearn_15/Train,image_153.jpg,23,3.825265
chalearn_15/Train,image_4590.jpg,29,4.696938
chalearn_15/Train,image_4969.jpg,34,4.720596
chalearn_15/Train,image_959.jpg,17,3.361811
chalearn_15/Train,image_4270.jpg,17,3.479464
chalearn_15/Train,image_4718.jpg,20,3.499271
chalearn_15/Train,image_1306.jpg,28,3.526736
chalearn_15/Train,image_2261.jpg,33,4.019423
chalearn_15/Train,image_3593.jpg,34,4.088034
chalearn_15/Train,image_392.jpg,37,3.538462
chalearn_15/Train,image_2913.jpg,19,3.314268
chalearn_15/Train,image_4706.jpg,17,3.311236
chalearn_15/Train,image_4613.jpg,37,4.487637
chalearn_15/Train,image_4729.jpg,43,5.009083
chalearn_15/Train,image_1249.jpg,30,3.594923
chalearn_15/Train,image_4255.jpg,15,3.356383
chalearn_15/Train,image_3810.jpg,19,3.567562
chalearn_15/Train,image_2530.jpg,21,4.020270
chalearn_15/Train,image_4078.jpg,25,4.060763
chalearn_15/Train,image_3458.jpg,42,3.661716
chalearn_15/Train,image_342.jpg,35,2.749933
chalearn_15/Train,image_4207.jpg,17,3.395585
chalearn_15/Train,image_1960.jpg,51,4.584156
chalearn_15/Train,image_3559.jpg,28,3.538559
chalearn_15/Train,image_4518.jpg,19,3.534091
chalearn_15/Train,image_1838.jpg,25,4.022299
chalearn_15/Train,image_1325.jpg,27,3.335034
chalearn_15/Train,image_1418.jpg,48,3.763863
chalearn_15/Train,image_253.jpg,30,4.296769
chalearn_15/Train,image_4781.jpg,51,1.440968
chalearn_15/Train,image_3622.jpg,22,3.737944
chalearn_15/Train,image_2035.jpg,35,4.702508
chalearn_15/Train,image_915.jpg,41,4.376874
chalearn_15/Train,image_2588.jpg,22,3.801913
chalearn_15/Train,image_1323.jpg,28,2.610810
chalearn_15/Train,image_2797.jpg,19,4.139080
chalearn_15/Train,image_949.jpg,20,3.760171
chalearn_15/Train,image_3871.jpg,27,4.712749
chalearn_15/Train,image_2195.jpg,27,4.922750
chalearn_15/Train,image_903.jpg,26,3.245877
chalearn_15/Train,image_2615.jpg,20,4.052343
chalearn_15/Train,image_1029.jpg,41,5.541666
chalearn_15/Train,image_4114.jpg,26,4.881473
chalearn_15/Train,image_794.jpg,62,5.465329
chalearn_15/Train,image_2210.jpg,18,4.011230
chalearn_15/Train,image_2819.jpg,19,3.484250
chalearn_15/Train,image_3430.jpg,36,4.903606
chalearn_15/Train,image_2828.jpg,21,3.110241
chalearn_15/Train,image_3376.jpg,32,5.035959
chalearn_15/Train,image_4806.jpg,23,4.138706
chalearn_15/Train,image_4359.jpg,21,3.896437
chalearn_15/Train,image_1421.jpg,52,4.235662
chalearn_15/Train,image_2229.jpg,48,4.537345
chalearn_15/Train,image_3974.jpg,15,2.668792
