db_name,full_path,age,gender,ageGrp
imdb_crop,02/nm0000002_rm370988544_1924-9-16_1991.jpg,67,0.0,8
imdb_crop,02/nm0000002_rm4213815808_1924-9-16_1990.jpg,66,0.0,7
imdb_crop,02/nm0000002_rm505206272_1924-9-16_1991.jpg,67,0.0,8
imdb_crop,02/nm0000002_rm991745536_1924-9-16_1991.jpg,67,0.0,8
imdb_crop,06/nm0000006_rm221957120_1915-8-29_1974.jpg,59,0.0,1
imdb_crop,08/nm0000008_rm2349567488_1924-4-3_1990.jpg,66,1.0,7
imdb_crop,08/nm0000008_rm2450230784_1924-4-3_1990.jpg,66,1.0,7
imdb_crop,08/nm0000008_rm2514467328_1924-4-3_1994.jpg,70,1.0,11
imdb_crop,08/nm0000008_rm4024416768_1924-4-3_1994.jpg,70,1.0,11
imdb_crop,08/nm0000008_rm4175344384_1924-4-3_1990.jpg,66,1.0,7
imdb_crop,09/nm0000009_rm539001856_1925-11-10_1984.jpg,59,1.0,1
imdb_crop,09/nm0000009_rm639665152_1925-11-10_1984.jpg,59,1.0,1
imdb_crop,10/nm0000010_rm3821517568_1899-7-17_1961.jpg,62,1.0,3
imdb_crop,10/nm0000010_rm3972512512_1899-7-17_1961.jpg,62,1.0,3
imdb_crop,17/nm0000017_rm3392046080_1901-12-27_1961.jpg,60,0.0,1
imdb_crop,18/nm0000018_rm1916308992_1916-12-9_1994.jpg,78,1.0,14
imdb_crop,18/nm0000018_rm2959722752_1916-12-9_1994.jpg,78,1.0,14
imdb_crop,18/nm0000018_rm2993277184_1916-12-9_1994.jpg,78,1.0,14
imdb_crop,19/nm0000019_rm2609314304_1920-1-20_1983.jpg,63,1.0,4
imdb_crop,20/nm0000020_rm1158525440_1905-5-16_1968.jpg,63,1.0,4
imdb_crop,20/nm0000020_rm3969113088_1905-5-16_1973.jpg,68,1.0,9
imdb_crop,22/nm0000022_rm3223960064_1901-2-1_1961.jpg,60,1.0,1
imdb_crop,22/nm0000022_rm3391732224_1901-2-1_1961.jpg,60,1.0,1
imdb_crop,22/nm0000022_rm3442063872_1901-2-1_1961.jpg,60,1.0,1
imdb_crop,24/nm0000024_rm1979953152_1904-4-14_1965.jpg,61,1.0,2
imdb_crop,24/nm0000024_rm255511552_1904-4-14_1974.jpg,70,1.0,11
imdb_crop,24/nm0000024_rm4247948800_1904-4-14_1980.jpg,76,1.0,14
imdb_crop,24/nm0000024_rm456838144_1904-4-14_1974.jpg,70,1.0,11
imdb_crop,24/nm0000024_rm872661504_1904-4-14_1977.jpg,73,1.0,14
imdb_crop,27/nm0000027_rm1143377664_1914-4-2_1977.jpg,63,1.0,4
imdb_crop,27/nm0000027_rm738624256_1914-4-2_1983.jpg,69,1.0,10
imdb_crop,31/nm0000031_rm1667611136_1907-5-12_1968.jpg,61,0.0,2
imdb_crop,32/nm0000032_rm3984235264_1923-10-4_1998.jpg,75,1.0,14
imdb_crop,32/nm0000032_rm506501888_1923-10-4_2001.jpg,78,1.0,14
imdb_crop,34/nm0000034_rm2067450880_1918-4-17_1974.jpg,56,1.0,1
imdb_crop,34/nm0000034_rm2453898240_1918-4-17_1976.jpg,58,1.0,1
imdb_crop,40/nm0000040_rm3260468224_1928-7-26_1999.jpg,71,1.0,12
imdb_crop,44/nm0000044_rm1668004352_1913-11-2_1977.jpg,64,1.0,5
imdb_crop,44/nm0000044_rm2009844736_1913-11-2_1970.jpg,57,1.0,1
imdb_crop,44/nm0000044_rm2110508032_1913-11-2_1970.jpg,57,1.0,1
imdb_crop,44/nm0000044_rm3647781376_1913-11-2_1971.jpg,58,1.0,1
imdb_crop,44/nm0000044_rm3698113024_1913-11-2_1971.jpg,58,1.0,1
imdb_crop,44/nm0000044_rm3731667456_1913-11-2_1971.jpg,58,1.0,1
imdb_crop,44/nm0000044_rm426490368_1913-11-2_1977.jpg,64,1.0,5
imdb_crop,44/nm0000044_rm677296896_1913-11-2_1971.jpg,58,1.0,1
imdb_crop,44/nm0000044_rm710851328_1913-11-2_1971.jpg,58,1.0,1
imdb_crop,44/nm0000044_rm761182976_1913-11-2_1971.jpg,58,1.0,1
imdb_crop,47/nm0000047_rm1440974592_1934-9-20_1995.jpg,61,0.0,2
imdb_crop,47/nm0000047_rm1474529024_1934-9-20_1995.jpg,61,0.0,2
imdb_crop,47/nm0000047_rm1563073280_1934-9-20_2002.jpg,68,0.0,9
imdb_crop,47/nm0000047_rm1579850496_1934-9-20_2002.jpg,68,0.0,9
imdb_crop,47/nm0000047_rm1596627712_1934-9-20_2002.jpg,68,0.0,9
imdb_crop,47/nm0000047_rm1641650944_1934-9-20_2002.jpg,68,0.0,9
imdb_crop,47/nm0000047_rm1718715392_1934-9-20_1993.jpg,59,0.0,1
imdb_crop,47/nm0000047_rm1735492608_1934-9-20_1993.jpg,59,0.0,1
imdb_crop,47/nm0000047_rm2882899456_1934-9-20_2009.jpg,75,0.0,14
imdb_crop,47/nm0000047_rm3411515904_1934-9-20_2002.jpg,68,0.0,9
imdb_crop,47/nm0000047_rm3495401984_1934-9-20_2002.jpg,68,0.0,9
imdb_crop,47/nm0000047_rm3512179200_1934-9-20_2002.jpg,68,0.0,9
imdb_crop,47/nm0000047_rm3937572864_1934-9-20_1998.jpg,64,0.0,5
imdb_crop,47/nm0000047_rm4138899456_1934-9-20_1998.jpg,64,0.0,5
imdb_crop,47/nm0000047_rm754749184_1934-9-20_2009.jpg,75,0.0,14
imdb_crop,47/nm0000047_rm771526400_1934-9-20_2009.jpg,75,0.0,14
imdb_crop,47/nm0000047_rm788303616_1934-9-20_2009.jpg,75,0.0,14
imdb_crop,47/nm0000047_rm915118080_1934-9-20_2002.jpg,68,0.0,9
imdb_crop,47/nm0000047_rm931895296_1934-9-20_2002.jpg,68,0.0,9
imdb_crop,48/nm0000048_rm181648128_1904-6-26_1963.jpg,59,1.0,1
