db_name,full_path,age,std,ageGrp
chalearn_15/Train,image_3005.jpg,44,4.179979,3
chalearn_15/Train,image_4718.jpg,20,3.499271,0
chalearn_15/Train,image_4931.jpg,25,3.958363,1
chalearn_15/Train,image_869.jpg,47,5.438418,3
chalearn_15/Train,image_3931.jpg,26,4.482063,1
chalearn_15/Train,image_3066.jpg,20,4.017535,0
chalearn_15/Train,image_2153.jpg,23,5.398412,1
chalearn_15/Train,image_5012.jpg,20,1.712698,0
chalearn_15/Train,image_2188.jpg,20,4.315678,0
chalearn_15/Train,image_2528.jpg,49,4.00905,3
chalearn_15/Train,image_910.jpg,48,4.257955,3
chalearn_15/Train,image_2569.jpg,44,4.728978,3
chalearn_15/Train,image_1572.jpg,10,1.724653,0
chalearn_15/Train,image_4394.jpg,24,3.9872199999999998,1
chalearn_15/Train,image_1112.jpg,18,3.36533,0
chalearn_15/Train,image_4078.jpg,25,4.060763,1
chalearn_15/Train,image_4336.jpg,17,3.774917,0
chalearn_15/Train,image_1740.jpg,35,4.278364,2
chalearn_15/Train,image_3541.jpg,31,4.186113,2
chalearn_15/Train,image_3673.jpg,23,3.5050980000000003,1
chalearn_15/Train,image_4880.jpg,23,3.151031,1
chalearn_15/Train,image_2897.jpg,25,4.8326150000000005,1
chalearn_15/Train,image_3123.jpg,37,4.414725,2
chalearn_15/Train,image_4820.jpg,37,5.789196,2
chalearn_15/Train,image_222.jpg,24,2.828427,1
chalearn_15/Train,image_3482.jpg,47,4.36247,3
chalearn_15/Train,image_1163.jpg,30,3.554962,2
chalearn_15/Train,image_4457.jpg,41,4.923076999999999,3
chalearn_15/Train,image_2363.jpg,26,5.168957,1
chalearn_15/Train,image_3055.jpg,24,4.404662999999999,1
chalearn_15/Train,image_1633.jpg,19,3.237127,0
chalearn_15/Train,image_3885.jpg,52,4.339539,3
chalearn_15/Train,image_2577.jpg,25,4.873638,1
chalearn_15/Train,image_3439.jpg,37,3.95526,2
chalearn_15/Train,image_3911.jpg,50,4.993746,3
chalearn_15/Train,image_4299.jpg,26,5.182878,1
chalearn_15/Train,image_758.jpg,31,3.968813,2
chalearn_15/Train,image_1779.jpg,18,2.997423,0
chalearn_15/Train,image_1933.jpg,22,3.474382,0
chalearn_15/Train,image_2745.jpg,29,4.0647519999999995,1
chalearn_15/Train,image_4141.jpg,26,2.743629,1
chalearn_15/Train,image_4509.jpg,46,4.42569,3
chalearn_15/Train,image_4482.jpg,20,4.061391,0
chalearn_15/Train,image_153.jpg,23,3.8252650000000004,1
chalearn_15/Train,image_1406.jpg,56,5.198607,3
chalearn_15/Train,image_1789.jpg,18,3.295182,0
chalearn_15/Train,image_277.jpg,23,2.547508,1
chalearn_15/Train,image_559.jpg,51,4.967349,3
chalearn_15/Train,image_911.jpg,47,5.378054,3
chalearn_15/Train,image_2109.jpg,16,2.813844,0
chalearn_15/Train,image_442.jpg,24,3.7794209999999997,1
chalearn_15/Train,image_1579.jpg,23,4.310279,1
chalearn_15/Train,image_1076.jpg,27,3.647678,1
chalearn_15/Train,image_1464.jpg,40,3.711489,3
chalearn_15/Train,image_1431.jpg,30,2.894598,2
chalearn_15/Train,image_3148.jpg,51,4.76314,3
chalearn_15/Train,image_3719.jpg,27,4.200986,1
chalearn_15/Train,image_2799.jpg,16,2.215437,0
chalearn_15/Train,image_300.jpg,7,2.266295,0
chalearn_15/Train,image_215.jpg,29,4.443658,1
chalearn_15/Train,image_4855.jpg,45,4.068852,3
chalearn_15/Train,image_2071.jpg,47,4.594244000000001,3
chalearn_15/Train,image_4927.jpg,15,1.967186,0
chalearn_15/Train,image_4804.jpg,17,3.3139480000000003,0
chalearn_15/Train,image_5006.jpg,21,2.874945,0
chalearn_15/Train,image_3525.jpg,31,3.7841980000000004,2
chalearn_15/Train,image_1942.jpg,21,2.974869,0
chalearn_15/Train,image_4328.jpg,29,3.5742849999999997,1
chalearn_15/Train,image_197.jpg,16,3.126156,0
chalearn_15/Train,image_2039.jpg,26,3.860245,1
chalearn_15/Train,image_3496.jpg,26,3.11022,1
chalearn_15/Train,image_1733.jpg,33,4.22457,2
chalearn_15/Train,image_296.jpg,23,3.057276,1
chalearn_15/Train,image_1387.jpg,22,3.301425,0
chalearn_15/Train,image_3944.jpg,23,4.014418,1
chalearn_15/Train,image_3359.jpg,42,4.443658,3
chalearn_15/Train,image_748.jpg,41,5.047701,3
chalearn_15/Train,image_221.jpg,26,3.251373,1
chalearn_15/Train,image_1373.jpg,57,5.5075709999999996,3
chalearn_15/Train,image_1256.jpg,36,3.570093,2
chalearn_15/Train,image_2583.jpg,21,3.911932,0
chalearn_15/Train,image_477.jpg,54,5.3281220000000005,3
chalearn_15/Train,image_3264.jpg,36,4.705157,2
chalearn_15/Train,image_1184.jpg,39,3.4314940000000003,3
chalearn_15/Train,image_1872.jpg,20,4.0623949999999995,0
chalearn_15/Train,image_3331.jpg,23,4.700804,1
chalearn_15/Train,image_1908.jpg,20,4.135919,0
chalearn_15/Train,image_4856.jpg,16,1.591645,0
chalearn_15/Train,image_1520.jpg,24,3.8841349999999997,1
chalearn_15/Train,image_3390.jpg,25,3.898225,1
chalearn_15/Train,image_1380.jpg,37,2.546607,2
chalearn_15/Train,image_539.jpg,42,4.403153,3
chalearn_15/Train,image_4331.jpg,18,3.992979,0
chalearn_15/Train,image_2535.jpg,23,5.034349,1
chalearn_15/Train,image_1587.jpg,29,4.32529,1
chalearn_15/Train,image_4731.jpg,54,3.703918,3
chalearn_15/Train,image_1270.jpg,45,3.627261,3
chalearn_15/Train,image_513.jpg,61,4.321871,3
chalearn_15/Train,image_202.jpg,32,4.883532,2
chalearn_15/Train,image_3941.jpg,25,3.765875,1
chalearn_15/Train,image_3194.jpg,38,3.916611,3
chalearn_15/Train,image_3229.jpg,18,2.8883080000000003,0
chalearn_15/Train,image_544.jpg,43,4.616666,3
chalearn_15/Train,image_832.jpg,21,4.374802,0
chalearn_15/Train,image_4103.jpg,24,3.2817800000000004,1
chalearn_15/Train,image_4520.jpg,61,5.016639,3
chalearn_15/Train,image_3711.jpg,25,3.2149669999999997,1
chalearn_15/Train,image_817.jpg,27,3.4404559999999997,1
chalearn_15/Train,image_4815.jpg,39,4.765951,3
chalearn_15/Train,image_789.jpg,38,3.5628940000000004,3
chalearn_15/Train,image_1208.jpg,38,4.5361199999999995,3
chalearn_15/Train,image_119.jpg,22,2.5339490000000002,0
chalearn_15/Train,image_2883.jpg,20,2.580342,0
chalearn_15/Train,image_1461.jpg,29,3.6907050000000003,1
chalearn_15/Train,image_2025.jpg,17,2.6054459999999997,0
chalearn_15/Train,image_2791.jpg,27,4.373374,1
chalearn_15/Train,image_1279.jpg,33,4.202162,2
chalearn_15/Train,image_2660.jpg,61,4.4021870000000005,3
chalearn_15/Train,image_4428.jpg,28,4.122831,1
chalearn_15/Train,image_608.jpg,36,5.484783,2
chalearn_15/Train,image_1901.jpg,25,3.8053269999999997,1
chalearn_15/Train,image_1574.jpg,21,3.6574410000000004,0
chalearn_15/Train,image_4687.jpg,21,3.282607,0
chalearn_15/Train,image_4241.jpg,19,2.66927,0
chalearn_15/Train,image_28.jpg,15,2.260177,0
chalearn_15/Train,image_4257.jpg,21,3.5778510000000003,0
